fecha,value
2023-04-05 14:39:09,4567.8443
2023-04-05 14:39:13,4567.8662
2023-04-05 14:39:38,4567.9021
2023-04-05 14:39:50,4568.0318
2023-04-05 14:41:11,4568.0439
2023-04-05 14:41:12,4568.0562
2023-04-05 14:41:13,4568.0691
2023-04-05 14:41:15,4568.0965
2023-04-05 14:41:16,4568.1265
2023-04-05 14:41:18,4568.1419
2023-04-05 14:41:24,4568.2671
2023-04-05 14:41:30,4568.2832
2023-04-05 14:41:31,4568.2993
2023-04-05 14:41:55,4568.3153
2023-04-05 14:42:01,4568.3312
2023-04-05 14:42:02,4568.3789
2023-04-05 14:42:07,4568.3946
2023-04-05 14:42:08,4568.4101
2023-04-05 14:42:17,4568.4232
2023-04-05 14:42:20,4568.4364
2023-04-05 14:42:21,4568.4757
2023-04-05 14:42:23,4568.4888
2023-04-05 14:42:30,4568.5278
2023-04-05 14:42:31,4568.5538
2023-04-05 14:42:33,4568.5796
2023-04-05 14:42:34,4568.5925
2023-04-05 14:42:35,4568.6053
2023-04-05 14:42:54,4568.6337
2023-04-05 14:42:59,4568.6481
2023-04-05 14:43:00,4568.6769
2023-04-05 14:43:02,4568.6912
2023-04-05 14:43:07,4569.7756
2023-04-05 14:43:13,4569.7895
2023-04-05 14:43:44,4569.8067
2023-04-05 14:44:51,4569.8201
2023-04-05 14:45:43,4569.8319
2023-04-05 14:45:49,4569.8467
2023-04-05 14:46:13,4569.8576
2023-04-05 14:46:14,4570.0181
2023-04-05 14:46:46,4570.0289
2023-04-05 14:46:48,4570.0394
2023-04-05 14:46:49,4570.0605
2023-04-05 14:46:51,4570.0712
2023-04-05 14:46:52,4570.0817
2023-04-05 14:46:53,4570.101
2023-04-05 14:46:57,4570.1106
2023-04-05 14:47:02,4570.1298
2023-04-05 14:47:03,4570.1393
2023-04-05 14:47:14,4570.1489
2023-04-05 14:47:49,4570.1672
2023-04-05 14:47:50,4570.1751
2023-04-05 14:48:49,4570.1855
2023-04-05 14:49:14,4570.1962
2023-04-05 14:49:20,4570.2072
2023-04-05 14:49:27,4570.2166
2023-04-05 14:49:30,4570.2253
2023-04-05 14:50:11,4570.247
2023-04-05 14:50:38,4570.2557
2023-04-05 14:55:18,4570.2732
2023-04-05 14:55:19,4570.2819
2023-04-05 14:55:20,4570.2906
2023-04-05 14:55:21,4570.3154
2023-04-05 14:55:22,4570.3231
2023-04-05 14:55:51,4570.3311
2023-04-05 14:55:53,4570.339
2023-04-05 14:55:56,4570.3468
2023-04-05 14:55:57,4570.3779
2023-04-05 14:55:58,4570.3854
2023-04-05 14:55:59,4570.393
2023-04-05 14:56:05,4570.4006
2023-04-05 14:56:52,4570.4133
2023-04-05 14:56:55,4570.426
2023-04-05 14:57:18,4570.435
2023-04-05 14:58:36,4570.4437
2023-04-05 14:59:26,4570.461
2023-04-05 15:00:15,4570.4685
2023-04-05 15:00:17,4570.4759
2023-04-05 15:00:55,4570.4859
